seller_id,seller_city,seller_state,total_orders,total_revenue,avg_rating,total_comments
2addf05f476d0637864454e93ba673d5,brasilia,DF,12,4552.00,5.00,12
48efc9d94a9834137efd9ea76b065a38,curitiba,PR,33,345.60,5.00,34
334cab711dee080b079fa5779b584783,"santo andre",SP,11,1069.70,4.96,26
41c2bad7229b0c25e6becf179ebf63ff,natal,RN,20,782.00,4.96,23
b1fecf4da1fa2689bccffa0121953643,"campo grande",MS,19,3669.64,4.95,20
9d681c7e12db302cb261e721040dde65,curitiba,PR,13,785.60,4.93,14
2d518637f53161b973e01f56ea4bb88e,"sao paulo",SP,13,1219.89,4.92,13
d4910f1cdcfdabd48d6b316e395d4a23,"santo andre",SP,11,1146.88,4.92,12
788e857f317e53de488d393e65a80f45,"sao paulo",SP,11,1210.00,4.91,11
2f4b0d3b9634b647d4edee577d7ebb7e,"sao paulo",SP,10,337.90,4.91,11
f44b6f775a2b390380e0e30b5c9d3eee,"sao paulo",SP,10,2930.00,4.90,10
8bdd8e3fd58bafa48af76b2c5fd71974,"sao paulo",SP,10,2135.83,4.90,10
1690cada046eb7e92c12f98b1f8a8167,"sao paulo",SP,10,1760.00,4.90,10
5b2e94f2c22b39ccc24d34ad0f669672,"sao paulo",SP,10,949.78,4.90,10
e627629ba868740e287800f1a9be81c2,"sao paulo",SP,10,317.20,4.90,10
ffad1e7127fb622cb64a900751590acd,americana,SP,10,884.30,4.87,15
30a81d8cf85fb2ada1b1b094c9583a95,"sao paulo",SP,17,1245.42,4.85,20
02f5837340d7eb4f653d676c7256523a,curitiba,PR,30,3883.05,4.83,30
d9bd94811c3338dceb4181f3dbc0c73e,"sao paulo",SP,54,6911.02,4.82,61
d4f117125b59ce73c3302f88ee40c458,"sao paulo",SP,17,783.29,4.82,17
